First Name,Last Name,Full Name,Position,Formatted DOB,Date of Birth,Birth Place,Nationality,Gender,Email,Address,Phone Number,Phone Number 2,House,Additional Information,RCA (Partner),Source,Official Websites,Unofficial Websites,Thread,Date of Data,3rd Party Check - Record Exists,3rd Party Check - Last Name,3rd Party Check - First Name,3rd Party Check - DOB,3rd Party Check - Place of Birth,3rd Party Check - Nationality,3rd Party Check - Gender
Ron,DeSantis,Ron DeSantis,Governor,14/09/1978,14/09/1978,"Jacksonville, Florida",USA,M,GovernorRon.DeSantis@eog.myflorida.com,"State of Florida
The Capitol
400 S.Monroe St.
Tallahassee
FL 32399-0001",850-717-9337,850-488-7146,Republican,"He graduated from Yale University with honors in 2001 and from Harvard Law School in 2005.He served in the U.S. Navy as a JAG officer, including a deployment to Iraq where he was a legal advisor to a Navy SEAL commander. He received a Bronze Star for meritorious service.He was elected to the U.S. House of Representatives in 2012 and served until 2018, co-founding the conservative House Freedom Caucus.He was elected Governor of Florida in 2018 and reelected in 2022. As governor, he has taken conservative stances on issues like COVID-19 policies and LGBTQ rights in schools.",Casey DeSantis,LLM,"http://www.rondesantis.com/
votesmart.org
http://www.fec.gov/","https://www.biography.com/political-figures/a44821348/ron-desantis
https://simple.wikipedia.org/wiki/Ron_DeSantis
https://www.britannica.com/biography/Ron-DeSantis
https://en.wikipedia.org/wiki/Ron_DeSantis
https://ballotpedia.org/Ron_DeSantis",,,Ron DESANTIS,DESANTIS,Ron,14/09/1978,"Jacksonville, Florida",USA,M
Casey,DeSantis,Casey DeSantis,First Lady,26/6/1980,26/6/1980,"Zanesville, Ohio",USA,F,https://www.flgov.com/email-the-first-lady/%5B1,"State of Florida
The Capitol
400 S.Monroe St.
Tallahassee
FL 32399-0001",NA,NA,Republican,"Background

    Her full name is Jill Casey Black DeSantis, born on June 26, 1980 in Zanesville, Ohio.

She graduated from the College of Charleston with a Bachelor of Science in economics and a minor in French.
Early in her career, she hosted golf programs on the Golf Channel and was a local news anchor and reporter in Jacksonville, Florida.
First Lady of Florida

    She became the First Lady of Florida in January 2019 when her husband Ron DeSantis was elected governor.

As First Lady, she has launched several initiatives, including:

    Hope Florida - A Pathway to Prosperity, to help Floridians achieve economic self-sufficiency

Resiliency Florida, a partnership with sports teams to address mental health stigma
The Facts. Your Future., an anti-substance abuse campaign for students
She has also advocated for cancer research and care in Florida, helping secure $100 million in funding.
Personal Life

    She met Ron DeSantis while he was a naval officer at Naval Station Mayport.

They married in 2009 at Disney's Grand Floridian Resort & Spa.
They have three children together - daughter Madison, son Mason, and daughter Mamie. The search results provide a comprehensive overview of Casey DeSantis' background, role as First Lady of Florida, and personal life.",Ron DeSantis,LLM,"https://www.flgov.com/meet-first-lady-desantis/
https://www.bbc.com/news/world-us-canada-63084196",https://en.wikipedia.org/wiki/Casey_DeSantis,,,not found,not found,not found,not found,not found,not found,not found
Kathleen,Passidomo,Kathleen Passidomo,Florida Legislature Senate President,19/5/1953,19/5/1953,"Jersey City, New Jersey",USA,F,NA,"Kelly, Passidomo & Alba, LLP, 2390 Tamiami Trl N Ste 204, Naples, FL 34103-4484
400 Senate Building, 404 South Monroe Street, Tallahassee, FL 32399-1100
25 East Hickpoochee Avenue, Room J-126, Labelle, FL 33935
3299 East Tamiami Trail, Suite 203, Naples, FL 34112",239-261-3453,850-487-5028,Republican,"Kathleen Passidomo is an USA lawyer and Republican politician currently serving as the President of the Florida Senate. Here are some key details about her:

 She has represented Florida's 28th Senate district, which includes Collier, Hendry, and part of Lee County in Southwest Florida, since 2016.

Prior to the Senate, she served three terms in the Florida House of Representatives from 2010 to 2016, representing the Naples area.
She served as Senate Majority Leader from 2018 to 2020 and Senate Rules Chair from 2020 to 2022.
Passidomo was born in 1953 in Jersey City, New Jersey. She earned a BA from Trinity Washington University and a JD from Stetson University College of Law.
She is a founding partner of the law firm Kelly, Passidomo & Alba LLP and has practiced real estate and business law. She was among the first attorneys in Florida to be board certified in real estate law.
Passidomo has been actively involved in various community organizations in Collier County, including serving on boards for the United Way, Children's Advocacy Center, and others.
She is the third woman in Florida's 185-year history to serve as Senate President, elected by colleagues for the 2022-2024 term.
Passidomo was married to John Passidomo, with whom she had three daughters, until his death in 2024.

Kathleen Passidomo is a female USA politician and lawyer. Here are the key details about her based on the search results: Gender: Female Nationality: USA Place of Birth: Jersey City, New Jersey Date of Birth: May 19, 1953 Current Residence: Naples, Florida Spouse: She was married to John Passidomo until his death in 2024. They married in 1980. Children: She has three daughters - Catarina, Francesca, and Gabriella. Passidomo was born in Jersey City, NJ in 1953 and later moved to Florida in the late 1970s after graduating from law school. She has resided in Naples since 1979 and practiced real estate and business law as a founding partner of her law firm. Passidomo served in the Florida House from 2010-2016 and has been a state Senator representing Southwest Florida's 28th district since 2016, currently serving as Senate President.","Catarina, Francesca, Gabriella",LLM,,,,,not found,not found,not found,not found,not found,not found,not found
Paul,Renner,Paul Renner,House of Representatives Speaker,21/3/1967,21/3/1967,"Atlanta, Georgia",USA,M,Paul.Renner@myfloridahouse.gov,"District Office Address:
Suite 1
4877 Palm Coast Parkway Northwest
Palm Coast, FL 32137-3677
Phone: (386) 446-7644 Capitol Office Address:
420 The Capitol
402 South Monroe Street
Tallahassee, FL 32399-1300
Phone: (850) 717-5019",(386) 446-7644,(850) 717-5019,Republican,"Unfortunately, none of the provided search results contain any specific information about Paul Renner being classified as a politically exposed person (PEP) due to his position as Speaker of the Florida House of Representatives. The search results provide biographical details about Paul Renner, including:

    His background as a lawyer, former prosecutor, and military veteran 

His current role as Speaker of the Florida House starting in November 2022 Previous positions he has held in the Florida House since being elected in 2015 Details about his education, family, and district he represents However, there is no mention in any of the results about Renner's PEP status, risk rating as a PEP, or any enhanced due diligence procedures financial institutions would need to follow related to his prominent elected position. As the Speaker of the Florida House, one of the highest and most powerful positions in state government, it is very likely that Paul Renner would be considered a politically exposed person by banks and face heightened scrutiny of his transactions and sources of wealth. But the provided search results do not explicitly confirm his PEP designation or provide the specific types of information typically used to identify, risk rate, and monitor PEPs under anti-money laundering regulations. While his position would suggest a high probability of being a PEP, there are no definitive statements about his status or associated compliance requirements in the search results. More information from official sources may be needed to conclusively determine his PEP classification.

Based on the provided search results, Paul Renner is an USA lawyer and Republican politician who currently serves as the Speaker of the Florida House of Representatives. Here are the key details about him: Paul Marvin Renner (born March 21, 1967) is the 103rd Speaker of the Florida House, assuming that position in November 2022. He has been a member of the Florida House representing parts of Flagler and St. Johns counties since 2015. Prior to becoming Speaker, Renner served in several leadership roles in the Florida House, including as Chair of the powerful Rules Committee. He is a military veteran, having served in the U.S. Navy during the Gulf War and in Afghanistan. Background:

    Born in Atlanta, Georgia but raised in Florida
    Earned BA in History from Davidson College in 1989
    Served as a Surface Warfare Officer in the U.S. Navy
    Earned JD from University of Florida in 1994
    Worked as a prosecutor and later as a corporate/business attorney
    Married to Adriana Renner, has one daughter

Political Career:

    Elected to the Florida House in 2014, representing Jacksonville area initially
    Re-elected in 2016, 2018, 2020, 2022 representing Flagler/St. Johns counties
    Served on committees like Rules, Appropriations, Health & Human Services
    Selected as Speaker-designate in 2020, officially becoming Speaker in Nov 2022
    Seen as a conservative Republican and ally of Governor Ron DeSantis

So in summary, Paul Renner is the current Republican Speaker of the Florida House, a powerful position he attained after serving several terms in the legislature and taking on leadership roles. He has a background as a lawyer, prosecutor and military veteran before entering state politics.",Adriana Renner,,,,,,Paul RENNER,RENNER,Paul,21/03/1967,"Atlanta, Georgia, USA",USA,M
Jeanette,Nunez,Jeanette Nunez,Lieutenant Governor,06/06/1972,6/6/1972,"Miami, Florida",USA,F,NA,"Office of the Lieutenant Governor
The Capitol
400 S.Monroe St.
Tallahassee
FL 32399-0001",NA,NA,Republican,"She was born on June 6, 1972 in Miami, FloridaShe previously served as a State Representative in the Florida House of Representatives from 2010 to 2018, and was named Speaker Pro Tempore from 2016 to 2018
As Lieutenant Governor, she oversees the Florida Department of Health and serves as Chair of Space Florida. She also chairs the Florida Cybersecurity Task Force and is a member of the Statewide Council on Human Trafficking
She is a graduate of Florida International University, where she earned a Bachelor's degree in International Relations and Political Science, and a Master's degree in Public AdministrationShe is married to Adrian Nuñez and they have three children togetherHer Twitter bio describes her as ""Florida's Lieutenant Governor, Wife, Mom, and Public Servant Working tirelessly to #KeepFloridaFree with @RonDeSantis.""",Adrain Nunez,LLM,,,,,not found,not found,not found,not found,not found,not found,not found
Adrain,Nunez,Adrain Nunez,NA,NA,NA,NA,NA  ,NA,NA,NA,NA,NA,NA,"He is married to Jeanette Nunez, the Lieutenant Governor of Florida.
He has a YouTube channel where he posts content related to music, such as unboxing a Sadowsky bass and praise music covers.
He is a Director of Business and Legal Affairs at Ultra Records, as shown on his LinkedIn profile.
He is an Of Counsel at the law firm Greenberg Traurig, where he focuses on commercial litigation, international arbitration, and other legal matters.
He has a SoundCloud account where he shares audio content.",Jeanette Nunez,LLM,,,,,not found,not found,not found,not found,not found,not found,not found
Ashley,Moody,Ashley Moody,Attorney General,28/3/1975,28/3/1975,"Plant City, Florida",USA,F,citizenservices@myfloridalegal.com,"Office of the Attorney General
PL-01 The Capitol
Tallahassee
FL 32399-0001",850-414-3300,NA,Republican,"She was born on March 28, 1975 in Plant City, Florida.
She graduated from the University of Florida with a bachelor's and master's degree in accounting, and later earned a Juris Doctor from the University of Florida School of Law and a Master of Laws in international law from Stetson University.
Prior to becoming Attorney General, she served as an assistant U.S. attorney and a circuit court judge in Hillsborough County, Florida.
As Attorney General, she has taken conservative positions, supporting lawsuits to invalidate the Affordable Care Act, opposing the restoration of voting rights for former felons, and opposing the legalization of recreational marijuana.
She was a significant surrogate for former President Donald Trump in Florida during the 2020 presidential election, and joined in the Texas v. Pennsylvania lawsuit that sought to overturn the election results.
She was first elected as Florida Attorney General in 2018 and re-elected in 2022.",Justin Duralia,LLM,,,,,Ashley MOODY,MOODY,Ashley,28/03/1975,"Plant City, Florida, USA",USA,F
Justin,Duralia,Justin Duralia,Federal Law Enforcement Agent,NA,NA,NA,NA,M,NA,NA,NA,NA,NA,"According to the IMDb biography, ""Ashley Moody is married to Justin Duralia.""
The LinkedIn post mentions a ""Justin W Breece"" who is a ""Managing Director, JD at Breece Private Wealth Management"", but this does not seem to be the same Justin Duralia who is married to Ashley Moody.
The search results from Masons and EBOSS mention a ""Durali"" product, but this appears to be a different person or entity, not related to Ashley Moody's husband.",Ashley Moody,LLM,,,,,not found,not found,not found,not found,not found,not found,not found
Jimmy,Patronis,Jimmy Patronis,"CFO, State Fire Marshal of Florida",13/4/1972,13/4/1972,"Panama City, Florida",USA,M,CFO.Patronis@MyFloridaCFO.com,"Office of the Chief Financial Officer
Plaza Level 11, The Capitol",850-413-3100,NA,Republican,"Jimmy Patronis is the Chief Financial Officer (CFO) of the state of Florida.
In this role, he oversees the Florida Department of Financial Services and serves as the State Fire Marshal.

He is a native Floridian born and raised in Panama City. Patronis earned an associate degree in restaurant management from Gulf Coast Community College and a bachelor's degree in political science from Florida State University. He began his public service career as an intern in the Florida Senate and the UK House of Commons. Prior to becoming CFO, Patronis served in the Florida House of Representatives from 2006 to 2014, representing the Florida Panhandle region. He was also appointed to the Florida Public Service Commission and the Constitution Revision Commission. As CFO, Patronis oversees the Florida Department of Financial Services and serves as State Fire Marshal. He has worked to provide benefits for firefighters with cancer, mental health services for first responders, and reform insurance laws. Patronis is a partner in his family's historic seafood restaurant, Captain Anderson's, which has served generations in Panama City Beach for over 50 years. He and his wife Katie have two sons, Jimmy Theo III and John Michael.",Katie Patronis,LLM,,,,,not found,not found,not found,not found,not found,not found,not found
Katie,Patronis,Katie Patronis,Realtor,NA,NA,NA,USA,F,katie@century21.com,"8212 Thomas Drive
Panama City Beach
FL 32408",850-960-0474,NA,NA,"Katie Patronis is the wife of Jimmy Patronis, the Chief Financial Officer (CFO) of the state of Florida. She works as a real estate agent for Century 21 Ryan Realty in Panama City Beach, Florida. According to her professional biography, Katie Patronis has over 20 years of experience in the real estate industry in the Panama City market. She is a partner in the Century 21 Ryan Realty firm and works as both a broker and community association manager (CAM). Katie Patronis holds several professional designations, including being a Commercial Specialist, Fine Homes and Estates Specialist, and a Graduate of the REALTOR Institute. She has also been recognized for her achievements, being named the Bay County REALTOR of the Year in 2004 and the Bay County Broker of the Year in 2014. Beyond her real estate career, Katie Patronis has been actively involved in the local community. She has served on the boards of organizations like the Gulf Coast State College, the Florida State University Panama City Development Board, the Bay County Chamber of Commerce, and the Panama City Beach Chamber of Commerce. Katie Patronis graduated from Gulf Coast Community College and earned a Bachelor's degree in Communication from Florida State University. She is also a graduate of the Dale Carnegie Training program. In summary, the key biographical details about Katie Patronis are her long career as a successful real estate agent in Panama City, her professional designations and awards, and her extensive community involvement and leadership roles.",Jimmy Patronis,LLM,,,,,not found,not found,not found,not found,not found,not found,not found
